Lob F Name,Lob L Name,Report,Group,Date,Type,Description,Cost,Principal
Richard M,Aubuchon,Mar-13,ENTIRE MISSOURI SENATE,3/7/2013,"Meals, Food, & Beverage",Dinner at Munichberg Tap House in Jefferson City,$14.55 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY
Richard M,Aubuchon,Mar-13,"ELECTIONS, Standing",3/14/2013,"Meals, Food, & Beverage","Breakfast at state capitol, Jefferson City",$129.27 ,PIPER JAFFRAY
Patrick,Baker,Apr-13,"SMALL BUSINESS, Standing",4/30/2013,"Meals, Food, & Beverage","Missouri State Capitol, Catered Lunch",$215.58 ,MISSOURI DENTAL ASSOCIATION
James W,Bantham,Mar-13,"FINANCIAL INSTITUTIONS, Standing",3/26/2013,"Meals, Food, & Beverage","Alexandros, Jefferson City, MO/Dinner",$211.75 ,CITIGROUP MANAGEMENT CORP
James W,Bantham,Mar-13,FINANCIAL AND GOVERNMENTAL ORGANIZATIONS AND ELECTIONS - Assigned bills,3/27/2013,"Meals, Food, & Beverage","Alexandros, Jefferson City, MO/Dinner",$188.80 ,CITIGROUP MANAGEMENT CORP
John E,Bardgett Jr,Feb-13,"ECONOMIC DEVELOPMENT, Standing",2/18/2013,"Meals, Food, & Beverage","Dinner at Alexandro's - JC, MO","$2,204.39 ","JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Feb-13,"TRANSPORTATION, Standing",2/26/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$188.26 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Feb-13,"HIGHER EDUCATION, Standing",2/25/2013,"Meals, Food, & Beverage","Dinner at Doubletree - JC, MO","$1,398.25 ","JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Feb-13,ENTIRE GENERAL ASSEMBLY,2/5/2013,"Meals, Food, & Beverage","Reception at Capitol Plaza - JC, MO","$3,193.13 ",MISSOURI ASSOCIATION OF NURSE ANESTHETISTS
John E,Bardgett Jr,Feb-13,"LOCAL GOVERNMENT, Standing",2/26/2013,"Meals, Food, & Beverage","Dinner at Doubletree - JC, MO","$1,429.40 ","JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Feb-13,"LOCAL GOVERNMENT, Standing",2/4/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$289.51 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Feb-13,"FINANCIAL INSTITUTIONS, Standing",2/6/2013,"Meals, Food, & Beverage","Dinner at Alexandro's - JC, MO","$1,430.97 ","JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Feb-13,GOVERNMENTAL ACCOUNTABILITY AND FISCAL OVERSIGHT - Assigned bills,2/11/2013,"Meals, Food, & Beverage","Dinner at Alexandro's - JC, MO",$712.60 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Feb-13,"WAYS AND MEANS, Standing",2/5/2013,"Meals, Food, & Beverage","Catered to MO State Capitol ""A Catered Affair""",$177.58 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Feb-13,"ECONOMIC DEVELOPMENT, Standing",2/12/2013,"Meals, Food, & Beverage","Dinner at O'Donahue's - JC, MO","$1,167.58 ","JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Feb-13,"PROFESSIONAL REGISTRATION AND LICENSING, Standing",2/13/2013,"Meals, Food, & Beverage","Dinner at Alexandro's - JC, MO","$1,444.63 ","JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Feb-13,APPROPRIATIONS - Assigned bills,2/4/2013,"Meals, Food, & Beverage","Senate Approps - Dinner at Alexandro's - JC, MO","$1,168.88 ","JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Jan-13,ENTIRE GENERAL ASSEMBLY,1/22/2013,"Meals, Food, & Beverage",Catered to Capitol - Reunion,$257.47 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Jan-13,HOUSE MAJORITY CAUCUS,1/17/2013,"Meals, Food, & Beverage","Catered to Capitol, JC MO",$202.00 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Jan-13,ENTIRE MISSOURI SENATE,1/9/2013,"Meals, Food, & Beverage","Catered to Capitol, JC, MO",$500.00 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Jan-13,HOUSE MAJORITY CAUCUS,1/9/2013,"Meals, Food, & Beverage","Catered to Capitol, JC, MO",$250.00 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Jan-13,ENTIRE GENERAL ASSEMBLY,1/8/2013,Gift,Tumblers w/straws delivered to Capitol offices,$699.35 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Jan-13,"ADMINISTRATION AND ACCOUNTS, Standing",1/23/2013,"Meals, Food, & Beverage","Santa Cruz Restaurant - JC, MO",$384.39 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Jan-13,"BUDGET, Standing",1/29/2013,"Meals, Food, & Beverage","Grand Cafe - JC, MO","$2,197.06 ","JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Jan-13,FINANCIAL AND GOVERNMENTAL ORGANIZATIONS AND ELECTIONS - Assigned bills,1/30/2013,"Meals, Food, & Beverage","Alexandro's - JC, MO","$1,160.02 ","JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Apr-13,ENTIRE MISSOURI HOUSE,4/22/2013,"Meals, Food, & Beverage",Dinner catered to MO State Capitol,$300.00 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Apr-13,"APPROPRIATIONS - PUBLIC SAFETY AND CORRECTIONS, Standing",4/23/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$113.11 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Apr-13,"CHILDREN, FAMILIES, AND PERSONS WITH DISABILITIES, Standing",4/2/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$147.04 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Apr-13,"BUDGET, Standing",4/24/2013,"Meals, Food, & Beverage",Breakfast catered to MO State Capitol,$269.29 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Apr-13,"HEALTH INSURANCE, Standing",4/3/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$181.94 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Apr-13,"ECONOMIC DEVELOPMENT, Standing",4/9/2013,"Meals, Food, & Beverage",Dinner catered to MO State Capitol,$349.80 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Apr-13,ENTIRE MISSOURI SENATE,4/23/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$129.50 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Apr-13,"UTILITIES, Standing",4/10/2013,"Meals, Food, & Beverage",Breakfast catered to MO State Capitol,$253.35 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Apr-13,ENTIRE MISSOURI SENATE,4/8/2013,"Meals, Food, & Beverage",Beverages & snacks catered to MO State Capitol,$221.72 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Apr-13,"PROFESSIONAL REGISTRATION AND LICENSING, Standing",4/17/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$285.79 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Apr-13,"JUDICIARY, Standing",4/15/2013,"Meals, Food, & Beverage","Dinner at Madison's in Jeff City, MO",$148.88 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,May-13,ENTIRE MISSOURI SENATE,5/15/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$165.00 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,May-13,ENTIRE MISSOURI HOUSE,5/6/2013,"Meals, Food, & Beverage",Dinner catered to MO State Capitol,$250.00 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,May-13,"RULES, Standing",5/2/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$199.08 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,May-13,ENTIRE MISSOURI SENATE,5/17/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$250.00 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,May-13,HOUSE MINORITY CAUCUS,5/16/2013,"Meals, Food, & Beverage",Dinner catered to MO State Capitol,$246.68 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,May-13,"GENERAL LAWS, Standing",5/1/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$191.27 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,May-13,ENTIRE MISSOURI HOUSE,5/15/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$104.30 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,May-13,ENTIRE MISSOURI SENATE,5/17/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$250.00 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,May-13,"JOBS, ECONOMIC DEVELOPMENT AND LOCAL GOVERNMENT - Assigned bills",5/8/2013,"Meals, Food, & Beverage",Beverages delivered to MO State Capitol,$77.53 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Jun-13,ENTIRE GENERAL ASSEMBLY,6/28/2013,Gift,Beach ball with JBA logo ($1.09 each),$214.73 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Mar-13,"WORKFORCE DEVELOPMENT AND WORKPLACE SAFETY, Standing",3/6/2013,"Meals, Food, & Beverage",Breakfast catered to MO State Capitol,$87.53 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Mar-13,"FISCAL REVIEW, Standing",3/7/2013,"Meals, Food, & Beverage",Breakfast catered to MO State Capitol,$39.32 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Mar-13,ENTIRE MISSOURI HOUSE,3/14/2013,"Meals, Food, & Beverage",Breakfast catered to MO State Capitol,$420.13 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Mar-13,HOUSE MINORITY CAUCUS,3/31/2013,"Meals, Food, & Beverage",Coffee catered to MO State Capitol for month of March,$431.91 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Mar-13,"JUDICIARY, Standing",3/13/2013,"Meals, Food, & Beverage",Lunch Catered to MO State Capitol,$136.47 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Mar-13,"CHILDREN, FAMILIES, AND PERSONS WITH DISABILITIES, Standing",3/11/2013,"Meals, Food, & Beverage",Dinner at Grand Cafe,"$1,265.84 ","JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Mar-13,"BUDGET, Standing",3/27/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$402.92 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Mar-13,"APPROPRIATIONS - INFRASTRUCTURE AND JOB CREATION, Standing",3/26/2013,"Meals, Food, & Beverage",Breakfast catered to MO State Capitol,$181.79 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Mar-13,"UTILITIES, Standing",3/4/2013,Travel,Trolley to transport committee from Jeff City to Columbia,$300.00 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Mar-13,"UTILITIES, Standing",3/4/2013,"Meals, Food, & Beverage","Dinner at C. C. Broilers in Columbia, MO","$4,827.11 ","JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Mar-13,"UTILITIES, Standing",3/4/2013,"Meals, Food, & Beverage",Beverages on trolley from JC to Columbia,$48.28 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Mar-13,ENTIRE MISSOURI SENATE,3/5/2013,"Meals, Food, & Beverage",Dinner - Game Fun Nite - Munichburg Tap House,$145.55 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Mar-13,"FISCAL REVIEW, Standing",3/6/2013,"Meals, Food, & Beverage",Breakfast catered to MO State Capitol,$39.32 ,"JOHN BARDGETT & ASSOCIATES, INC."
Catherine,Barrie,Mar-13,ENTIRE GENERAL ASSEMBLY,3/25/2013,"Meals, Food, & Beverage",CLE legislators luncheon,$484.44 ,THE MISSOURI BAR
Catherine,Barrie,Mar-13,ENTIRE GENERAL ASSEMBLY,3/25/2013,"Meals, Food, & Beverage",NULL,($484.44),THE MISSOURI BAR
Catherine,Barrie,Mar-13,ENTIRE GENERAL ASSEMBLY,3/25/2013,"Meals, Food, & Beverage",CLE for legislators luncheon,$599.60 ,THE MISSOURI BAR
Catherine,Barrie,Feb-13,"APPROPRIATIONS - GENERAL ADMINISTRATION, Standing",2/6/2013,"Meals, Food, & Beverage",Luncheon at Capitol  JC MO,$164.85 ,THE MISSOURI BAR
Catherine,Barrie,Jan-13,ENTIRE GENERAL ASSEMBLY,1/23/2013,"Meals, Food, & Beverage",State of Judiciary Luncheon,"$5,495.00 ",THE MISSOURI BAR
Catherine,Barrie,Jan-13,"JUDICIARY, Standing",1/16/2013,"Meals, Food, & Beverage",Luncheon,$114.46 ,THE MISSOURI BAR
Catherine,Barrie,Apr-13,"JUDICIARY, Standing",4/22/2013,"Meals, Food, & Beverage","jeff city, mo",$495.14 ,THE MISSOURI BAR
Catherine,Barrie,May-13,"JUDICIARY, Standing",5/7/2013,"Meals, Food, & Beverage",Senate Judiciary Committee Meeting,$347.59 ,THE MISSOURI BAR
Brad,Bates,Mar-13,"HEALTH CARE POLICY, Standing",3/13/2013,"Meals, Food, & Beverage","Missouri State Capitol, Jefferson City/Catered Luncheon",$173.71 ,MISSOURI ASSOCIATION OF PHYSICIANS AND SURGEONS
Brad,Bates,May-13,ENTIRE GENERAL ASSEMBLY,5/15/2013,"Meals, Food, & Beverage",Gates BBQ for Capitol,$165.00 ,MISSOURI ASSOCIATION OF PHYSICIANS AND SURGEONS
Brad,Bates,May-13,"HEALTH CARE POLICY, Standing",5/1/2013,"Meals, Food, & Beverage",Lunch for committee,$161.05 ,MISSOURI ASSOCIATION OF PHYSICIANS AND SURGEONS
Sandie,Benen,Apr-13,ENTIRE MISSOURI HOUSE,4/10/2013,"Meals, Food, & Beverage",Mo/Catered dinner,$362.84 ,SANDIE BENEN
Sandie,Benen,Apr-13,ENTIRE MISSOURI SENATE,4/3/2013,"Meals, Food, & Beverage",Bones/ MO/ catered dinner,$220.68 ,SANDIE BENEN
Guy William,Black,Mar-13,ENTIRE MISSOURI SENATE,3/5/2013,"Meals, Food, & Beverage",Missouri State Capitol/Evening Session Meals,$500.00 ,BRYAN CAVE LLP
Guy William,Black,Mar-13,ENTIRE MISSOURI SENATE,3/14/2013,"Meals, Food, & Beverage",Mortimer Kegley's/Food and Beverages,"$1,098.79 ",BRYAN CAVE LLP
Ann,Brand,Mar-13,ENTIRE MISSOURI HOUSE,3/11/2013,"Meals, Food, & Beverage","Missouri State Capitol, Jefferson City, MO/Catered meal",$80.00 ,ST. LOUIS COMMUNITY COLLEGE
Ann,Brand,Feb-13,ENTIRE MISSOURI HOUSE,2/11/2013,"Meals, Food, & Beverage","Missouri State Capitol, Jefferson City, MO/Catered meal",$120.00 ,ST. LOUIS COMMUNITY COLLEGE
Ann,Brand,Feb-13,"HIGHER EDUCATION, Standing",2/12/2013,"Meals, Food, & Beverage","Missouri State Capitol, Jefferson City, MO/Catered meal",$124.88 ,ST. LOUIS COMMUNITY COLLEGE
Ann,Brand,Jan-13,"ECONOMIC DEVELOPMENT, Standing",1/22/2013,"Meals, Food, & Beverage","Missouri State Capitol, MO/Catered Dinner",$160.69 ,ST. LOUIS COMMUNITY COLLEGE
Ann,Brand,Apr-13,HOUSE MAJORITY CAUCUS,4/10/2013,"Meals, Food, & Beverage","Rainbow Lanes, Jefferson City, MO/Dinner",$181.42 ,ST. LOUIS COMMUNITY COLLEGE
Ann,Brand,Apr-13,HOUSE MINORITY CAUCUS,4/10/2013,"Meals, Food, & Beverage","Rainbow Lanes, Jefferson City, MO/Dinner",$181.42 ,ST. LOUIS COMMUNITY COLLEGE
Ann,Brand,Apr-13,ENTIRE MISSOURI SENATE,4/3/2013,"Meals, Food, & Beverage","Bones Resturant, Jefferson City, MO/Senate Crap Boil ",$335.00 ,ST. LOUIS COMMUNITY COLLEGE
Ann,Brand,May-13,ENTIRE GENERAL ASSEMBLY,5/6/2013,"Meals, Food, & Beverage","Memorial Park, Jefferson City, MO/Dinner",$250.00 ,ST. LOUIS COMMUNITY COLLEGE
Terry W,Briggs,Apr-13,"TRANSPORTATION, Standing",4/23/2013,"Meals, Food, & Beverage",Catered lunch in the Capitol at committe hearing,$172.14 ,SITE IMPROVEMENT ASSOCIATION
Jeffery N,Brooks,Feb-13,"LEADERSHIP FOR MISSOURI ISSUE DEVELOPMENT, Standing",2/12/2013,"Meals, Food, & Beverage","CC Broilers, Columbia, MO/Dinner","$1,952.36 ",AMEREN MISSOURI 
Clark W.,Brown,Jan-13,HOUSE MAJORITY CAUCUS,1/24/2013,"Meals, Food, & Beverage",Republican Labor Breakfast,$258.54 ,SEIU (Service Employees Intl. Union) MO/KS State Council
Travis,Brown,Feb-13,HOUSE MAJORITY CAUCUS,2/1/2013,"Meals, Food, & Beverage","State Capitol, Catered Breakfast/Coffee","$1,067.35 ","PELOPIDAS, LLC"
Travis,Brown,Feb-13,HOUSE MAJORITY CAUCUS,2/8/2013,"Meals, Food, & Beverage","State Capitol, Catered Breakfast/Coffee, Cafe Via Roma",$265.85 ,"PELOPIDAS, LLC"
