Lob F Name,Lob L Name,Report,Pub Off,Recipient,Date,Type,Description,Cost,Principal,Amend Reason,Amend Sol ID,If Amended,Sol ID
William A,Gamble,Jul-13,,"LAFAVER, JEREMY  - Representative",7/20/2013,Entertainment,Concert Tickets,$51.25 ,MISSOURI BEVERAGE ASSOCIATION,,0,Not Amended,312
William A,Gamble,Jul-13,"EMERY, ED  - Senator",Tom Hoppe - Employee or Staff,7/30/2013,Entertainment,Concert Tickets,$88.00 ,AMERISTAR CASINO HOTEL KANSAS CITY INC,,0,Amended,310
William A,Gamble,Jul-13,,"LAFAVER, JEREMY  - Representative",7/20/2013,Entertainment,Concert Tickets,$51.25 ,AMERISTAR CASINO HOTEL KANSAS CITY INC,,0,Not Amended,312
David J.,Klarich,Jan-13,,"WALSH, GINA  - Senator",1/14/2013,"Meals, Food, & Beverage",Inauguration,$162.60 ,MISSOURI ASSOCIATION OF TRIAL ATTORNEYS,,0,Not Amended,281
Mike,Lodewegen,Apr-13,,"ROWLAND, LYLE  - Representative",4/24/2013,"Meals, Food, & Beverage",Domino's Pizza delivered to Capital,$115.68 ,MISSOURI COUNCIL OF SCHOOL ADMINISTRATORS,,0,Not Amended,292
Mike,Lodewegen,May-13,,"PEARCE, DAVID - Senator",5/14/2013,"Meals, Food, & Beverage",Abiy's International,$123.84 ,MISSOURI COUNCIL OF SCHOOL ADMINISTRATORS,,0,Not Amended,303
Whitney,ODaniel,Jun-13,"JONES, TIMOTHY W - Representative",zach monroe - Employee or Staff,6/3/2013,"Meals, Food, & Beverage",,$13.33 ,WHITNEY ODANIEL,,0,Not Amended,308
Phillip ,Schnieders,Apr-13,,"BERNSKOETTER, MIKE  - Representative",4/5/2013,"Meals, Food, & Beverage",General Assembly Charity Softball Tournament,$125.00 ,MISSOURI AUTOMOBILE DEALERS ASSOCIATION,,0,Amended,293
Phillip ,Schnieders,Apr-13,,"BERNSKOETTER, MIKE  - Representative",4/5/2013,"Meals, Food, & Beverage",NULL,($125.00),MISSOURI AUTOMOBILE DEALERS ASSOCIATION,Expensed to wrong person.,293,Amended,299
Edward D,Watkins,Feb-13,,Mike Parson - Public Official,2/27/2013,Travel,"Roundtrip from Sedalia, MO to Jefferson City, MO",$68.56 ,TRAILS END,,0,Not Amended,284
Edward D,Watkins,Feb-13,,Mike Parson - Public Official,2/27/2013,"Meals, Food, & Beverage",Meal,$9.89 ,TRAILS END,,0,Not Amended,285
Edward D,Watkins,Mar-13,,"COX, STANLEY - Representative",3/29/2013,Travel,Meeting for Trail's End,$11.20 ,TRAILS END,,0,Not Amended,288
Edward D,Watkins,Mar-13,,"Mark Wolfe, MO State Fair Director - Public Official",3/8/2013,Travel,Meeting for Trail's End,$11.20 ,TRAILS END,,0,Not Amended,289
