Lob F Name,Lob L Name,Report,Pub Off,Recipient,Date,Type,Description,Cost,Principal
Guy William,Black,Jan-13,,"FUNDERBURK, DOUG - Representative",1/17/2013,"Meals, Food, & Beverage",Lunch meeting,$15.81 ,ANR PIPELINE COMPANY
Guy William,Black,Jan-13,"PARSON, MIKE - Senator",Alex Eaton - Employee or Staff,1/15/2013,"Meals, Food, & Beverage",Lunch meeting,$17.67 ,ANR PIPELINE COMPANY
Amy Lynn,Blouin,Jan-13,,"LAFAVER, JEREMY  - Representative",1/23/2013,"Meals, Food, & Beverage",,$3.00 ,MISSOURI BUDGET PROJECT
Amy Lynn,Blouin,Jan-13,"LEVOTA, PAUL  - Senator",Ron Berry - Employee or Staff,1/23/2013,"Meals, Food, & Beverage",,$3.00 ,MISSOURI BUDGET PROJECT
Rodney,Boyd,Jan-13,,"CURLS, SHALONN (KIKI) - Senator",1/8/2013,"Meals, Food, & Beverage","Meal, Ria's Restaurant, Jefferson City, MO",$53.13 ,STAND UP MISSOURI
Rodney,Boyd,Jan-13,,"NASHEED, JAMILAH  - Senator",1/8/2013,"Meals, Food, & Beverage","Meal, Ria's Restaurant, Jefferson City, MO",$53.13 ,STAND UP MISSOURI
Rodney,Boyd,Jan-13,,"ELLINGTON, BRANDON - Representative",1/8/2013,"Meals, Food, & Beverage","Meal, Ria's Restaurant, Jefferson City, MO",$53.13 ,STAND UP MISSOURI
Rodney,Boyd,Jan-13,,DUNN. RANDY  - Representative,1/8/2013,"Meals, Food, & Beverage","Meal, Ria's Restaurant, Jefferson City, MO",$53.13 ,STAND UP MISSOURI
Rodney,Boyd,Jan-13,,"PIERSON, TOMMIE  - Representative",1/8/2013,"Meals, Food, & Beverage","Meal, Ria's Restaurant, Jefferson City, MO",$53.13 ,STAND UP MISSOURI
Rodney,Boyd,Jan-13,,"BUTLER, MICHAEL  - Representative",1/8/2013,"Meals, Food, & Beverage","Meal, Ria's Restaurant, Jefferson City, MO",$53.13 ,STAND UP MISSOURI
Terry W,Briggs,Jan-13,,"KOLKMEYER, GLEN  - Representative",1/23/2013,"Meals, Food, & Beverage",Dinner mtg on highway funding,$16.45 ,SITE IMPROVEMENT ASSOCIATION
Terry W,Briggs,Jan-13,,"LOVE, WARREN  - Representative",1/23/2013,"Meals, Food, & Beverage",dinner mtg to discuss highway funding,$16.45 ,SITE IMPROVEMENT ASSOCIATION
Terry W,Briggs,Jan-13,,"MILLER, ROCKY  - Representative",1/23/2013,"Meals, Food, & Beverage",Dinner mtg to discuss highway funding,$16.45 ,SITE IMPROVEMENT ASSOCIATION
Terry W,Briggs,Jan-13,,"NEELY, JAMES  - Representative",1/23/2013,"Meals, Food, & Beverage",Dinner mtg to discuss highway funding,$16.45 ,SITE IMPROVEMENT ASSOCIATION
Terry W,Briggs,Jan-13,,"PIKE, RANDY  - Representative",1/23/2013,"Meals, Food, & Beverage",Dinner mtg to discuss highway funding,$16.45 ,SITE IMPROVEMENT ASSOCIATION
Terry W,Briggs,Jan-13,,"REMOLE, TIM  - Representative",1/23/2013,"Meals, Food, & Beverage",dinner mtg to discuss highway funding,$16.45 ,SITE IMPROVEMENT ASSOCIATION
Terry W,Briggs,Jan-13,,"SMITH, CLEM  - Representative",1/23/2013,"Meals, Food, & Beverage",dinner mtg to discuss highway funding,$16.45 ,SITE IMPROVEMENT ASSOCIATION
Terry W,Briggs,Jan-13,,"WALKER, NATHAN  - Representative",1/23/2013,"Meals, Food, & Beverage",dinner mtg to discuss highway funding,$16.45 ,SITE IMPROVEMENT ASSOCIATION
Terry W,Briggs,Jan-13,"ALLEN, SUE - Representative",Samantha Hall - Employee or Staff,1/23/2013,"Meals, Food, & Beverage",dinner mtg to discuss highway funding with Rep. Walker,$16.45 ,SITE IMPROVEMENT ASSOCIATION
Terry W,Briggs,Jan-13,,"EMERY, ED  - Senator",1/23/2013,"Meals, Food, & Beverage",dinner mtg to discuss highway funding,$16.45 ,SITE IMPROVEMENT ASSOCIATION
Terry W,Briggs,Jan-13,,"WALLINGFORD, WAYNE  - Senator",1/23/2013,"Meals, Food, & Beverage",dinner mtg to discuss highway funding,$16.45 ,SITE IMPROVEMENT ASSOCIATION
Terry W,Briggs,Jan-13,,"ROORDA, JEFF - Representative",1/23/2013,"Meals, Food, & Beverage",dinner mtg to discuss highway funding,$16.45 ,SITE IMPROVEMENT ASSOCIATION
Terry W,Briggs,Jan-13,"ALLEN, SUE - Representative",Samantha Hall - Employee or Staff,1/23/2013,"Meals, Food, & Beverage",NULL,($16.45),SITE IMPROVEMENT ASSOCIATION
Terry W,Briggs,Jan-13,"WALKER, NATHAN  - Representative",Samantha Hall - Employee or Staff,1/23/2013,"Meals, Food, & Beverage",Meal,$16.45 ,SITE IMPROVEMENT ASSOCIATION
John,Britton,Jan-13,,"KEAVENY, JOSEPH (JOE) - Senator",1/22/2013,"Meals, Food, & Beverage",,$12.00 ,JOHN BRITTON
John,Britton,Jan-13,"KEAVENY, JOSEPH (JOE) - Senator",Stacy Morse - Employee or Staff,1/22/2013,"Meals, Food, & Beverage",,$12.00 ,JOHN BRITTON
John,Britton,Jan-13,,"ELLINGER, RORY  - Representative",1/22/2013,"Meals, Food, & Beverage",,$12.00 ,JOHN BRITTON
John,Britton,Jan-13,,"HUMMEL, JACOB - Representative",1/23/2013,"Meals, Food, & Beverage",,$16.00 ,JOHN BRITTON
John,Britton,Jan-13,,"SCHARNHORST, DWIGHT D. - Representative",1/23/2013,"Meals, Food, & Beverage",,$16.00 ,JOHN BRITTON
John,Britton,Jan-13,,"GATSCHENBERGER, CHUCK - Representative",1/23/2013,"Meals, Food, & Beverage",,$16.00 ,JOHN BRITTON
John,Britton,Jan-13,,"BURNS, BOB - Representative",1/29/2013,"Meals, Food, & Beverage",,$11.50 ,JOHN BRITTON
John,Britton,Jan-13,,"MITTEN, GINA  - Representative",1/29/2013,"Meals, Food, & Beverage",,$11.50 ,JOHN BRITTON
John,Britton,Jan-13,"BURNS, BOB - Representative",Jason Schutte - Employee or Staff,1/29/2013,"Meals, Food, & Beverage",,$11.50 ,JOHN BRITTON
Jeffery N,Brooks,Jan-13,"RIDDLE, JEANIE - Representative",Rachel Bauer - Employee or Staff,1/31/2013,"Meals, Food, & Beverage",Lunch,$34.19 ,MISSOURI DENTAL ASSOCIATION 
Richard S,Brownlee III,Jan-13,,"KOSTER, CHRIS - ATTORNEY GENERAL",1/20/2013,"Meals, Food, & Beverage",Presidential Inaugration Brunch,$69.43 ,"GOOGLE,INC."
Zachary,Brunnert,Jan-13,,"COLONA, MIKE - Representative",1/14/2013,"Meals, Food, & Beverage",,$25.10 ,"FLOTRON & MCINTOSH, LLC"
Zachary,Brunnert,Jan-13,Senate Majority Caucus Staff - Public Official,Lauren Hieger - Employee or Staff,1/16/2013,"Meals, Food, & Beverage",,$7.70 ,"FLOTRON & MCINTOSH, LLC"
Zachary,Brunnert,Jan-13,Senate Majority Caucus Staff - Public Official,Kit Crancer - Employee or Staff,1/16/2013,"Meals, Food, & Beverage",,$7.70 ,"FLOTRON & MCINTOSH, LLC"
Zachary,Brunnert,Jan-13,Senate Majority Caucus Staff - Public Official,Mark Tucker - Employee or Staff,1/16/2013,"Meals, Food, & Beverage",,$7.70 ,"FLOTRON & MCINTOSH, LLC"
Zachary,Brunnert,Jan-13,,"COLONA, MIKE - Representative",1/21/2013,"Meals, Food, & Beverage",,$46.83 ,"FLOTRON & MCINTOSH, LLC"
Zachary,Brunnert,Jan-13,Senate Majority Caucus Staff - Public Official,Kit Crancer - Employee or Staff,1/23/2013,"Meals, Food, & Beverage",,$20.75 ,"FLOTRON & MCINTOSH, LLC"
Zachary,Brunnert,Jan-13,Senate Majority Caucus Staff - Public Official,Kit Crancer - Employee or Staff,1/30/2013,"Meals, Food, & Beverage",,$17.66 ,"FLOTRON & MCINTOSH, LLC"
Jerry W,Burch,Jan-13,,"HAAHR, ELIJAH  - Representative",1/10/2013,Other,"Governor's Prayer Breakfast at Capitol Plaza, Jefferson City",$30.00 ,MISSOURI STATE UNIVERSITY
Jerry W,Burch,Jan-13,,"CRAWFORD, SANDY  - Representative",1/10/2013,Other,"Governor's Prayer Breakfast at Capitol Plaza, Jefferson City",$30.00 ,MISSOURI STATE UNIVERSITY
Jerry W,Burch,Jan-13,"DIXON, BOB - Senator",Eric Jennings - Employee or Staff,1/10/2013,Other,"Governor's Prayer Breakfast at Capitol Plaza, Jefferson City",$30.00 ,MISSOURI STATE UNIVERSITY
Jerry W,Burch,Jan-13,,"DIXON, BOB - Senator",1/14/2013,"Meals, Food, & Beverage",Food for Guests Attending Reception and Inaugural Ball at Capitol ,$343.00 ,BURCH & ASSOCIATES
Jerry W,Burch,Jan-13,Director of DNR - Public Official,Sarah Parker Pauley - Employee or Staff,1/23/2013,Other,Springfield/Branson Salute to Missouri Legislators at Capitol Plaza in Jefferson City,$4.55 ,GREENE COUNTY COMMISSION
Jerry W,Burch,Jan-13,,"DIXON, BOB - Senator",1/10/2013,Other,"Governor's Prayer Breakfast at Capitol Plaza, Jefferson City",$30.00 ,MISSOURI STATE UNIVERSITY
Gary L.,Burton,Jan-13,,"LANT, BILL  - Representative",1/7/2013,"Meals, Food, & Beverage",,$38.23 ,MISSOURI ASSOCIATION OF INSURANCE AGENTS 
Gary L.,Burton,Jan-13,,"ALLEN, SUE - Representative",1/8/2013,"Meals, Food, & Beverage",,$84.31 ,MISSOURI COUNCIL OF SCHOOL ADMINISTRATORS
Gary L.,Burton,Jan-13,,"FLANIGAN, TOM - Representative",1/8/2013,"Meals, Food, & Beverage",,$81.15 ,MISSOURI ASSOCIATION OF INSURANCE AGENTS 
Gary L.,Burton,Jan-13,,"LEARA, MIKE - Representative",1/8/2013,"Meals, Food, & Beverage",,$71.03 ,MISSOURI ASSOCIATION OF INSURANCE AGENTS 
Gary L.,Burton,Jan-13,,"DEMPSEY, TOM - Senator",1/9/2013,"Meals, Food, & Beverage",,$3.41 ,MISSOURI ASSOCIATION OF INSURANCE AGENTS 
Gary L.,Burton,Jan-13,,"HAEFNER, MARSHA  - Representative",1/9/2013,"Meals, Food, & Beverage",,$26.15 ,MISSOURI ASSOCIATION OF INSURANCE AGENTS 
Gary L.,Burton,Jan-13,,"FLANIGAN, TOM - Representative",1/9/2013,"Meals, Food, & Beverage",,$26.15 ,MISSOURI ASSOCIATION OF INSURANCE AGENTS 
Gary L.,Burton,Jan-13,,"ALLEN, SUE - Representative",1/9/2013,"Meals, Food, & Beverage",,$26.15 ,MISSOURI ASSOCIATION OF INSURANCE AGENTS 
Gary L.,Burton,Jan-13,,"FRANKLIN, DIANE  - Representative",1/11/2013,"Meals, Food, & Beverage",,$77.96 ,MISSOURI ASSOCIATION OF INSURANCE AGENTS 
Gary L.,Burton,Jan-13,,"HOUGH, LINCOLN  - Representative",1/11/2013,"Meals, Food, & Beverage",,$46.27 ,MISSOURI ASSOCIATION OF INSURANCE AGENTS 
Gary L.,Burton,Jan-13,,"LANT, BILL  - Representative",1/14/2013,"Meals, Food, & Beverage",,$35.81 ,MISSOURI ASSOCIATION OF INSURANCE AGENTS 
Gary L.,Burton,Jan-13,,"RICHARD, RON  - Senator",1/14/2013,"Meals, Food, & Beverage",,$32.29 ,MISSOURI COUNCIL OF SCHOOL ADMINISTRATORS
Gary L.,Burton,Jan-13,,"ALLEN, SUE - Representative",1/15/2013,"Meals, Food, & Beverage",,$40.51 ,MISSOURI COUNCIL OF SCHOOL ADMINISTRATORS
Gary L.,Burton,Jan-13,,"FLANIGAN, TOM - Representative",1/15/2013,"Meals, Food, & Beverage",,$40.52 ,MISSOURI COUNCIL OF SCHOOL ADMINISTRATORS
Gary L.,Burton,Jan-13,,"THOMSON, MIKE - Representative",1/15/2013,"Meals, Food, & Beverage",,$21.51 ,MISSOURI COUNCIL OF SCHOOL ADMINISTRATORS
Gary L.,Burton,Jan-13,,"PEARCE, DAVID - Senator",1/21/2013,"Meals, Food, & Beverage",,$40.22 ,MISSOURI COUNCIL OF SCHOOL ADMINISTRATORS
Gary L.,Burton,Jan-13,,"LEARA, MIKE - Representative",1/22/2013,"Meals, Food, & Beverage",,$21.95 ,MISSOURI ASSOCIATION OF CAREER FIRE PROTECTION DISTRICTS
Gary L.,Burton,Jan-13,,"FUNDERBURK, DOUG - Representative",1/23/2013,"Meals, Food, & Beverage",,$69.25 ,MISSOURI ASSOCIATION OF INSURANCE AGENTS 
Gary L.,Burton,Jan-13,,"FITZWATER, PAUL  - Representative",1/23/2013,"Meals, Food, & Beverage",,$24.99 ,MISSOURI ASSOCIATION OF INSURANCE AGENTS 
Gary L.,Burton,Jan-13,,"FRAKER, LYNDALL  - Representative",1/23/2013,"Meals, Food, & Beverage",,$24.99 ,MISSOURI ASSOCIATION OF INSURANCE AGENTS 
Gary L.,Burton,Jan-13,,"REDMON, CRAIG  - Representative",1/23/2013,"Meals, Food, & Beverage",,$24.99 ,MISSOURI ASSOCIATION OF INSURANCE AGENTS 
Gary L.,Burton,Jan-13,,"HAMPTON, KENT  - Representative",1/23/2013,"Meals, Food, & Beverage",,$24.99 ,MISSOURI ASSOCIATION OF INSURANCE AGENTS 
Gary L.,Burton,Jan-13,,"MUNZLINGER, BRIAN - Senator",1/23/2013,"Meals, Food, & Beverage",,$32.78 ,MISSOURI ASSOCIATION OF INSURANCE AGENTS 
Brent Kendall,Butler,Jan-13,,"WIELAND, PAUL  - Representative",1/30/2013,"Meals, Food, & Beverage",beverages,$60.31 ,MISSOURI INSURANCE COALITION
Steven R,Carroll,Jan-13,,"GRISAMORE, JEFF - Representative",1/16/2013,"Meals, Food, & Beverage","J. Pfenny's, Jefferson City, MO",$6.00 ,STEVEN R. CARROLL & ASSOCIATES
Steven R,Carroll,Jan-13,,"HOSKINS, DENNY L - Representative",1/16/2013,"Meals, Food, & Beverage","J. Pfenny's, Jefferson City, MO  65101",$6.00 ,STEVEN R. CARROLL & ASSOCIATES
Steven R,Carroll,Jan-13,,"NETH, MYRON  - Representative",1/16/2013,"Meals, Food, & Beverage","J. Pfenny's. Jefferson City, MO",$7.50 ,STEVEN R. CARROLL & ASSOCIATES
Katherine,Casas,Jan-13,,"HUBBARD, PENNY V.  - Representative",1/7/2013,"Meals, Food, & Beverage",,$6.39 ,CHILDREN'S EDUCATION COUNCIL OF MISSOURI
Katherine,Casas,Jan-13,,"NASHEED, JAMILAH  - Senator",1/14/2013,"Meals, Food, & Beverage",,$270.10 ,CHILDREN'S EDUCATION COUNCIL OF MISSOURI
Katherine,Casas,Jan-13,,"NASHEED, JAMILAH  - Senator",1/7/2013,"Meals, Food, & Beverage",,$6.39 ,CHILDREN'S EDUCATION COUNCIL OF MISSOURI
Heath C,Clarkston,Jan-13,,"WEBBER, STEPHEN - Representative",1/4/2013,"Meals, Food, & Beverage",,$12.80 ,RAI SERVICES COMPANY
Heath C,Clarkston,Jan-13,"SCHAEFER, KURT - Senator",Yancy Williams - Employee or Staff,1/4/2013,"Meals, Food, & Beverage",,$12.80 ,RAI SERVICES COMPANY
Heath C,Clarkston,Jan-13,"SCHAEFER, KURT - Senator",Yancy Williams - Employee or Staff,1/22/2013,"Meals, Food, & Beverage",,$40.18 ,"GALLAGHER CONSULTANTS, LLC"
Heath C,Clarkston,Jan-13,"SCHAEFER, KURT - Senator",Yancy Williams - Employee or Staff,1/28/2013,"Meals, Food, & Beverage",,$27.00 ,RAI SERVICES COMPANY
Heath C,Clarkston,Jan-13,,"BROWN, DAN W.  - Senator",1/24/2013,"Meals, Food, & Beverage",,$109.88 ,MISSOURI VETERINARY MEDICAL ASSOCIATION
Heath C,Clarkston,Jan-13,,"PACE, SHARON L  - Representative",1/30/2013,"Meals, Food, & Beverage",NULL,($10.75),RAI SERVICES COMPANY
Heath C,Clarkston,Jan-13,,"PACE, SHARON L  - Representative",1/30/2013,"Meals, Food, & Beverage",,$10.75 ,RAI SERVICES COMPANY
Heath C,Clarkston,Jan-13,,"GRAY, ROCHELLE WALTON - Representative",1/30/2013,"Meals, Food, & Beverage",,$10.75 ,RAI SERVICES COMPANY
Heath C,Clarkston,Jan-13,,"HUBBARD, PENNY V.  - Representative",1/30/2013,"Meals, Food, & Beverage",,$10.75 ,RAI SERVICES COMPANY
Heath C,Clarkston,Jan-13,,"WEBB, STEVE - Representative",1/30/2013,"Meals, Food, & Beverage",,$10.75 ,RAI SERVICES COMPANY
Heath C,Clarkston,Jan-13,,"GARDNER, KIMBERLY  - Representative",1/30/2013,"Meals, Food, & Beverage",,$10.75 ,RAI SERVICES COMPANY
Heath C,Clarkston,Jan-13,,"CURTIS, COURTNEY  - Representative",1/30/2013,"Meals, Food, & Beverage",,$10.75 ,RAI SERVICES COMPANY
Heath C,Clarkston,Jan-13,,"BUTLER, MICHAEL  - Representative",1/30/2013,"Meals, Food, & Beverage",,$10.75 ,RAI SERVICES COMPANY
Heath C,Clarkston,Jan-13,,"BEATTY, GAIL MCCANN  - Representative",1/30/2013,"Meals, Food, & Beverage",,$10.75 ,RAI SERVICES COMPANY
Heath C,Clarkston,Jan-13,,"MAY, KARLA  - Representative",1/30/2013,"Meals, Food, & Beverage",,$10.75 ,RAI SERVICES COMPANY
Heath C,Clarkston,Jan-13,,"NASHEED, JAMILAH  - Senator",1/30/2013,"Meals, Food, & Beverage",,$10.75 ,RAI SERVICES COMPANY
Heath C,Clarkston,Jan-13,,"ELLINGTON, BRANDON - Representative",1/30/2013,"Meals, Food, & Beverage",,$10.75 ,RAI SERVICES COMPANY
Heath C,Clarkston,Jan-13,,"SMITH, CLEM  - Representative",1/30/2013,"Meals, Food, & Beverage",,$10.75 ,RAI SERVICES COMPANY
Jim,Cooper,Jan-13,,"FITZWATER, PAUL  - Representative",1/23/2013,"Meals, Food, & Beverage",lunch,$7.50 ,MERCY HEALTH SYSTEM
Shannon,Cooper,Jan-13,,"RIDDLE, JEANIE - Representative",1/23/2013,"Meals, Food, & Beverage",Dinner in JC,$9.00 ,THE GIDDENS GROUP
Mark R,Coulter,Jan-13,,"SILVEY, RYAN  - Senator",1/28/2013,"Meals, Food, & Beverage",Lunch @ Grand Cafe,$12.00 ,"PORT AUTHORITY OF KANSAS CITY, MISSOURI"
Mark R,Coulter,Jan-13,"SILVEY, RYAN  - Senator",Mark Schwartz - Employee or Staff,1/28/2013,"Meals, Food, & Beverage",Lunch @ Grand Cafe,$12.00 ,"PORT AUTHORITY OF KANSAS CITY, MISSOURI"
Mark R,Coulter,Jan-13,,"SILVEY, RYAN  - Senator",1/8/2013,"Meals, Food, & Beverage",Dinner @ Love Sushi,$17.95 ,"PORT AUTHORITY OF KANSAS CITY, MISSOURI"
Mark R,Coulter,Jan-13,"SILVEY, RYAN  - Senator",Angela Silvey - Spouse or Child,1/8/2013,"Meals, Food, & Beverage",Dinner @ Love Sushi,$16.45 ,"PORT AUTHORITY OF KANSAS CITY, MISSOURI"
Mark R,Coulter,Jan-13,"SILVEY, RYAN  - Senator",Angela Silvey - Spouse or Child,1/9/2013,"Meals, Food, & Beverage",Drinks @ Paddy Malone's,$3.75 ,"PORT AUTHORITY OF KANSAS CITY, MISSOURI"
Mark R,Coulter,Jan-13,"SILVEY, RYAN  - Senator",Mark Schwartz - Employee or Staff,1/9/2013,"Meals, Food, & Beverage",Drinks @ Paddy Malone's,$11.25 ,"PORT AUTHORITY OF KANSAS CITY, MISSOURI"
Mark R,Coulter,Jan-13,,"SILVEY, RYAN  - Senator",1/9/2013,"Meals, Food, & Beverage",Beverages @ Paddy Malone's,$10.50 ,"PORT AUTHORITY OF KANSAS CITY, MISSOURI"
Mark R,Coulter,Jan-13,"SILVEY, RYAN  - Senator",Ryan Langemach - Employee or Staff,1/8/2013,"Meals, Food, & Beverage",Dinner @ Love Sushi,$6.50 ,"PORT AUTHORITY OF KANSAS CITY, MISSOURI"
Mark R,Coulter,Jan-13,,"SILVEY, RYAN  - Senator",1/13/2013,"Meals, Food, & Beverage",Spectators,$3.00 ,"PORT AUTHORITY OF KANSAS CITY, MISSOURI"
Mark R,Coulter,Jan-13,"SILVEY, RYAN  - Senator",Angela Silvey - Spouse or Child,1/13/2013,"Meals, Food, & Beverage",Spectators,$3.25 ,"PORT AUTHORITY OF KANSAS CITY, MISSOURI"
Mark R,Coulter,Jan-13,"NETH, MYRON  - Representative",Scott O'Donnell - Employee or Staff,1/9/2013,"Meals, Food, & Beverage",Drinks @ Paddy Malone's,$3.75 ,"PORT AUTHORITY OF KANSAS CITY, MISSOURI"
Mark R,Coulter,Jan-13,,"LAFAVER, JEREMY  - Representative",1/9/2013,"Meals, Food, & Beverage",Drinks @ Paddy Malone's,$9.00 ,"PORT AUTHORITY OF KANSAS CITY, MISSOURI"
Jeffrey W.,Craver,Jan-13,,"RUPP, SCOTT - Senator",1/9/2013,"Meals, Food, & Beverage",,$45.00 ,ADVANTAGE CAPITAL PARTNERS
Jeffrey W.,Craver,Jan-13,"RUPP, SCOTT - Senator",Rachel Hassani  - Employee or Staff,1/9/2013,"Meals, Food, & Beverage",,$20.00 ,ADVANTAGE CAPITAL PARTNERS
Lea,Crusey,Jan-13,,"WEBB, STEVE - Representative",1/30/2013,"Meals, Food, & Beverage",,$6.00 ,STUDENTS FIRST
Lea,Crusey,Jan-13,"DEMPSEY, TOM - Senator",Kit Crancer - Employee or Staff,1/7/2013,"Meals, Food, & Beverage",,$3.20 ,STUDENTS FIRST
Lea,Crusey,Jan-13,"NASHEED, JAMILAH  - Senator",Eric Vickers - Employee or Staff,1/14/2013,"Meals, Food, & Beverage",,$62.50 ,STUDENTS FIRST
Lea,Crusey,Jan-13,"NASHEED, JAMILAH  - Senator",Hannah Young - Employee or Staff,1/14/2013,"Meals, Food, & Beverage",,$62.50 ,STUDENTS FIRST
Lea,Crusey,Jan-13,"NASHEED, JAMILAH  - Senator",Jason Groce - Employee or Staff,1/14/2013,"Meals, Food, & Beverage",,$62.50 ,STUDENTS FIRST
Lea,Crusey,Jan-13,,"NASHEED, JAMILAH  - Senator",1/14/2013,"Meals, Food, & Beverage",,$62.50 ,STUDENTS FIRST
Edward R.,DeSoignie,Jan-13,,"KOSTER, CHRIS - ATTORNEY GENERAL",1/30/2013,"Meals, Food, & Beverage",Meal & Topic Prevailing Wages,$23.78 ,THE HEAVY CONSTRUCTORS ASSOCIATION OF GREATER KANSAS CITY
