Lob F Name,Lob L Name,Report,Group,Date,Type,Description,Cost,Principal,Amend Reason,Amend Grp ID,If Amended,Grp ID
Dale,Amick,Jan-13,"AGRICULTURE POLICY, Standing",1/29/2013,"Meals, Food, & Beverage",State Capitol,$292.00 ,MISSOURI CORN GROWERS ASSOCIATION,NULL,0,Not Amended,5352
Dale,Amick,Feb-13,"AGRICULTURE POLICY, Standing",2/12/2013,"Meals, Food, & Beverage",Missouri State Capitol,$242.00 ,MISSOURI CATTLEMENS ASSOCIATION,NULL,0,Not Amended,5616
Dale,Amick,Feb-13,"AGRI-BUSINESS, Standing",2/5/2013,"Meals, Food, & Beverage",Missouri State Capitol,$193.00 ,MISSOURI CATTLEMENS ASSOCIATION,NULL,0,Not Amended,5617
Dale,Amick,Feb-13,ENTIRE GENERAL ASSEMBLY,2/28/2013,"Meals, Food, & Beverage",Missouri State Capitol,"$3,176.00 ",MISSOURI TRAVEL COUNCIL,NULL,0,Amended,5618
Dale,Amick,Mar-13,"EMERGING ISSUES IN AGRICULTURE, Standing",3/13/2013,"Meals, Food, & Beverage",Missouri State Capitol,$116.76 ,MISSOURI CORN GROWERS ASSOCIATION,NULL,0,Not Amended,5883
Dale,Amick,Feb-13,ENTIRE GENERAL ASSEMBLY,2/28/2013,"Meals, Food, & Beverage",NULL,"($3,176.00)",MISSOURI TRAVEL COUNCIL,final bills,5618,Amended,5884
Dale,Amick,Feb-13,ENTIRE GENERAL ASSEMBLY,2/28/2013,"Meals, Food, & Beverage",Missouri STate Capitol,"$1,588.00 ",MISSOURI TRAVEL COUNCIL,NULL,0,Not Amended,5885
"Charles ""Andy""",Arnold,Jan-13,ENTIRE MISSOURI SENATE,1/29/2013,"Meals, Food, & Beverage",Mo. State Capitol/Beverages,$275.00 ,ARNOLD AND ASSOCIATES,NULL,0,Not Amended,5465
"Charles ""Andy""",Arnold,Feb-13,ENTIRE GENERAL ASSEMBLY,2/18/2013,"Meals, Food, & Beverage","Mo. State Capitol, JCMO/Catered Luncheon",$300.00 ,ARNOLD AND ASSOCIATES,NULL,0,Not Amended,5511
"Charles ""Andy""",Arnold,Mar-13,ENTIRE MISSOURI SENATE,3/7/2013,"Meals, Food, & Beverage",Jefferson City/Dinner,$147.55 ,ARNOLD AND ASSOCIATES,NULL,0,Not Amended,5944
"Charles ""Andy""",Arnold,Mar-13,"LOCAL GOVERNMENT, Standing",3/4/2013,"Meals, Food, & Beverage","State Capitol Bldg, JCMO/Catered Committee Lunch",$175.82 ,ARNOLD AND ASSOCIATES,NULL,0,Not Amended,5945
"Charles ""Andy""",Arnold,Mar-13,ENTIRE MISSOURI SENATE,3/11/2013,"Meals, Food, & Beverage","State Capitol Building, JCMO/Beverages",$325.00 ,ARNOLD AND ASSOCIATES,NULL,0,Not Amended,5946
"Charles ""Andy""",Arnold,Mar-13,ENTIRE GENERAL ASSEMBLY,3/5/2013,"Meals, Food, & Beverage",DoubleTree Hotel/JCMO/Catered Reception,"$3,947.31 ",MISSOURI ASSOCIATION OF PROSECUTING ATTORNEYS,NULL,0,Not Amended,6086
"Charles ""Andy""",Arnold,Apr-13,"RULES, Standing",4/9/2013,"Meals, Food, & Beverage","Jefferson City Country Club, JCMO/Committee Dinner",$212.72 ,ARNOLD AND ASSOCIATES,NULL,0,Not Amended,6464
"Charles ""Andy""",Arnold,Apr-13,"UTILITIES, Standing",4/24/2013,"Meals, Food, & Beverage","State Capitol Bldg, JCMO/Catered BReakfast",$253.00 ,ARNOLD AND ASSOCIATES,NULL,0,Not Amended,6465
"Charles ""Andy""",Arnold,May-13,ENTIRE MISSOURI SENATE,5/16/2013,"Meals, Food, & Beverage","Mo. State Capital, JCMO/Catered Lunch",$165.00 ,ARNOLD AND ASSOCIATES,NULL,0,Not Amended,6691
"Charles ""Andy""",Arnold,May-13,"UTILITIES, Standing",5/1/2013,"Meals, Food, & Beverage",Committee Breakfast,$253.35 ,ARNOLD AND ASSOCIATES,NULL,0,Not Amended,6692
"Charles ""Andy""",Arnold,Jul-13,ENTIRE GENERAL ASSEMBLY,7/26/2013,Printing & Publication,State Capitol: Copying Cost,$3.03 ,MISSOURI ASSOCIATION OF PROSECUTING ATTORNEYS,NULL,0,Not Amended,6808
"Charles ""Andy""",Arnold,Aug-13,ENTIRE GENERAL ASSEMBLY,8/28/2013,"Meals, Food, & Beverage","Marriott's Tan Tar A, Osage Beach/Annual Prosecutor's Association Training Event","$1,180.00 ",MISSOURI ASSOCIATION OF PROSECUTING ATTORNEYS,NULL,0,Not Amended,6849
Jack D,Atterberry,Mar-13,"TRANSPORTATION, Standing",3/5/2013,"Meals, Food, & Beverage","Missouri State Capitol, Jefferson City, MO/Catered Luncheon",$185.00 ,"ASSOCIATED GENERAL CONTRACTORS OF MISSOURI, INC.",NULL,0,Not Amended,5824
Jack D,Atterberry,Apr-13,ENTIRE MISSOURI HOUSE,4/2/2013,"Meals, Food, & Beverage","Missouri State Capitol, Jefferson City, MO/Catered Dinner",$472.59 ,"ASSOCIATED GENERAL CONTRACTORS OF MISSOURI, INC.",NULL,0,Not Amended,6100
Richard M,Aubuchon,Feb-13,"CRIME PREVENTION AND PUBLIC SAFETY, STANDING",2/25/2013,"Meals, Food, & Beverage",Lunch catered by Hy-Vee at the state capitol,$104.85 ,TRANSYSTEMS ,NULL,0,Not Amended,5777
Richard M,Aubuchon,Mar-13,"ELECTIONS, Standing",3/14/2013,"Meals, Food, & Beverage","Breakfast at state capitol, Jefferson City",$129.27 ,PIPER JAFFRAY,NULL,0,Not Amended,5935
Richard M,Aubuchon,Mar-13,ENTIRE MISSOURI SENATE,3/7/2013,"Meals, Food, & Beverage",Dinner at Munichberg Tap House in Jefferson City,$14.56 ,JE DUNN CONSTRUCTION,NULL,0,Not Amended,5937
Richard M,Aubuchon,Mar-13,ENTIRE MISSOURI SENATE,3/7/2013,"Meals, Food, & Beverage",Dinner at Munichberg Tap House in Jefferson City,$14.55 ,"FAIRPAY SOLUTIONS, INC.",NULL,0,Not Amended,5937
Richard M,Aubuchon,Mar-13,ENTIRE MISSOURI SENATE,3/7/2013,"Meals, Food, & Beverage",Dinner at Munichberg Tap House in Jefferson City,$14.55 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,NULL,0,Not Amended,5937
Richard M,Aubuchon,Mar-13,ENTIRE MISSOURI SENATE,3/7/2013,"Meals, Food, & Beverage",Dinner at Munichberg Tap House in Jefferson City,$14.55 ,PIPER JAFFRAY,NULL,0,Not Amended,5937
Richard M,Aubuchon,Mar-13,ENTIRE MISSOURI SENATE,3/7/2013,"Meals, Food, & Beverage",Dinner at Munichberg Tap House in Jefferson City,$14.55 ,TRANSYSTEMS ,NULL,0,Not Amended,5937
Richard M,Aubuchon,Mar-13,ENTIRE MISSOURI SENATE,3/7/2013,"Meals, Food, & Beverage",Dinner at Munichberg Tap House in Jefferson City,$14.55 ,GENERAL MOTORS LLC,NULL,0,Not Amended,5937
Richard M,Aubuchon,Mar-13,ENTIRE MISSOURI SENATE,3/7/2013,"Meals, Food, & Beverage",Dinner at Munichberg Tap House in Jefferson City,$14.59 ,TREANOR ARCHITECTS P.A.,NULL,0,Not Amended,5937
Richard M,Aubuchon,Mar-13,ENTIRE MISSOURI SENATE,3/7/2013,"Meals, Food, & Beverage",Dinner at Munichberg Tap House in Jefferson City,$14.55 ,THE UNIVERISTY OF KANSAS HOSPITAL AUTHORITY,NULL,0,Not Amended,5937
Richard M,Aubuchon,Mar-13,ENTIRE MISSOURI SENATE,3/7/2013,"Meals, Food, & Beverage",Dinner at Munichberg Tap House in Jefferson City,$14.55 ,"HY-VEE, INC.",NULL,0,Not Amended,5937
Richard M,Aubuchon,Mar-13,ENTIRE MISSOURI SENATE,3/7/2013,"Meals, Food, & Beverage",Dinner at Munichberg Tap House in Jefferson City,$14.55 ,LOCKTON INC.,NULL,0,Not Amended,5937
Richard M,Aubuchon,Apr-13,ENTIRE MISSOURI HOUSE,4/23/2013,"Meals, Food, & Beverage",Cattered dinner at the state capitol.,$46.96 ,JE DUNN CONSTRUCTION,NULL,0,Not Amended,6380
Richard M,Aubuchon,Apr-13,ENTIRE MISSOURI HOUSE,4/23/2013,"Meals, Food, & Beverage",Cattered dinner at the state capitol.,$46.96 ,"HY-VEE, INC.",NULL,0,Not Amended,6380
Richard M,Aubuchon,Apr-13,ENTIRE MISSOURI HOUSE,4/23/2013,"Meals, Food, & Beverage",Cattered dinner at the state capitol.,$46.96 ,LOCKTON INC.,NULL,0,Not Amended,6380
Richard M,Aubuchon,Apr-13,ENTIRE MISSOURI HOUSE,4/23/2013,"Meals, Food, & Beverage",Cattered dinner at the state capitol.,$46.96 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,NULL,0,Not Amended,6380
Richard M,Aubuchon,Apr-13,ENTIRE MISSOURI HOUSE,4/23/2013,"Meals, Food, & Beverage",Cattered dinner at the state capitol.,$46.96 ,THE UNIVERISTY OF KANSAS HOSPITAL AUTHORITY,NULL,0,Not Amended,6380
Richard M,Aubuchon,Apr-13,ENTIRE MISSOURI HOUSE,4/23/2013,"Meals, Food, & Beverage",Cattered dinner at the state capitol.,$46.96 ,TRANSYSTEMS ,NULL,0,Not Amended,6380
Richard M,Aubuchon,Apr-13,ENTIRE MISSOURI HOUSE,4/23/2013,"Meals, Food, & Beverage",Cattered dinner at the state capitol.,$46.95 ,TREANOR ARCHITECTS P.A.,NULL,0,Not Amended,6380
Richard M,Aubuchon,Apr-13,ENTIRE MISSOURI HOUSE,4/23/2013,"Meals, Food, & Beverage",Cattered dinner at the state capitol.,$46.96 ,"FAIRPAY SOLUTIONS, INC.",NULL,0,Not Amended,6380
Richard M,Aubuchon,Apr-13,ENTIRE MISSOURI HOUSE,4/23/2013,"Meals, Food, & Beverage",Cattered dinner at the state capitol.,$46.96 ,PIPER JAFFRAY,NULL,0,Not Amended,6380
Patrick,Baker,Apr-13,"SMALL BUSINESS, Standing",4/30/2013,"Meals, Food, & Beverage","Missouri State Capitol, Catered Lunch",$215.58 ,MISSOURI DENTAL ASSOCIATION,NULL,0,Not Amended,6106
James W,Bantham,Mar-13,"FINANCIAL INSTITUTIONS, Standing",3/26/2013,"Meals, Food, & Beverage","Alexandros, Jefferson City, MO/Dinner",$211.75 ,CITIGROUP MANAGEMENT CORP,NULL,0,Not Amended,6063
James W,Bantham,Mar-13,FINANCIAL AND GOVERNMENTAL ORGANIZATIONS AND ELECTIONS - Assigned bills,3/27/2013,"Meals, Food, & Beverage","Alexandros, Jefferson City, MO/Dinner",$188.80 ,CITIGROUP MANAGEMENT CORP,NULL,0,Not Amended,6064
John E,Bardgett Jr,Jan-13,HOUSE MAJORITY CAUCUS,1/17/2013,"Meals, Food, & Beverage","Catered to Capitol, JC MO",$202.00 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,5360
John E,Bardgett Jr,Jan-13,ENTIRE MISSOURI SENATE,1/9/2013,"Meals, Food, & Beverage","Catered to Capitol, JC, MO",$500.00 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,5361
John E,Bardgett Jr,Jan-13,HOUSE MAJORITY CAUCUS,1/9/2013,"Meals, Food, & Beverage","Catered to Capitol, JC, MO",$250.00 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,5362
John E,Bardgett Jr,Jan-13,ENTIRE GENERAL ASSEMBLY,1/8/2013,Gift,Tumblers w/straws delivered to Capitol offices,$699.35 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,5363
John E,Bardgett Jr,Jan-13,"ADMINISTRATION AND ACCOUNTS, Standing",1/23/2013,"Meals, Food, & Beverage","Santa Cruz Restaurant - JC, MO",$384.39 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,5364
John E,Bardgett Jr,Jan-13,"BUDGET, Standing",1/29/2013,"Meals, Food, & Beverage","Grand Cafe - JC, MO","$2,197.06 ","JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,5365
John E,Bardgett Jr,Jan-13,FINANCIAL AND GOVERNMENTAL ORGANIZATIONS AND ELECTIONS - Assigned bills,1/30/2013,"Meals, Food, & Beverage","Alexandro's - JC, MO","$1,160.02 ","JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,5366
John E,Bardgett Jr,Jan-13,ENTIRE GENERAL ASSEMBLY,1/22/2013,"Meals, Food, & Beverage",Catered to Capitol - Reunion,$257.47 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,5507
John E,Bardgett Jr,Feb-13,"ECONOMIC DEVELOPMENT, Standing",2/18/2013,"Meals, Food, & Beverage","Dinner at Alexandro's - JC, MO","$2,204.39 ","JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,5596
John E,Bardgett Jr,Feb-13,"TRANSPORTATION, Standing",2/26/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$188.26 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,5597
John E,Bardgett Jr,Feb-13,"HIGHER EDUCATION, Standing",2/25/2013,"Meals, Food, & Beverage","Dinner at Doubletree - JC, MO","$1,398.25 ","JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,5598
John E,Bardgett Jr,Feb-13,ENTIRE GENERAL ASSEMBLY,2/5/2013,"Meals, Food, & Beverage","Reception at Capitol Plaza - JC, MO","$3,193.13 ",MISSOURI ASSOCIATION OF NURSE ANESTHETISTS,NULL,0,Not Amended,5599
John E,Bardgett Jr,Feb-13,"LOCAL GOVERNMENT, Standing",2/26/2013,"Meals, Food, & Beverage","Dinner at Doubletree - JC, MO","$1,429.40 ","JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,5600
John E,Bardgett Jr,Feb-13,"LOCAL GOVERNMENT, Standing",2/4/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$289.51 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,5601
John E,Bardgett Jr,Feb-13,"FINANCIAL INSTITUTIONS, Standing",2/6/2013,"Meals, Food, & Beverage","Dinner at Alexandro's - JC, MO","$1,430.97 ","JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,5602
John E,Bardgett Jr,Feb-13,GOVERNMENTAL ACCOUNTABILITY AND FISCAL OVERSIGHT - Assigned bills,2/11/2013,"Meals, Food, & Beverage","Dinner at Alexandro's - JC, MO",$712.60 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,5603
John E,Bardgett Jr,Feb-13,"WAYS AND MEANS, Standing",2/5/2013,"Meals, Food, & Beverage","Catered to MO State Capitol ""A Catered Affair""",$177.58 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,5604
John E,Bardgett Jr,Feb-13,"ECONOMIC DEVELOPMENT, Standing",2/12/2013,"Meals, Food, & Beverage","Dinner at O'Donahue's - JC, MO","$1,167.58 ","JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,5605
John E,Bardgett Jr,Feb-13,"PROFESSIONAL REGISTRATION AND LICENSING, Standing",2/13/2013,"Meals, Food, & Beverage","Dinner at Alexandro's - JC, MO","$1,444.63 ","JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,5606
John E,Bardgett Jr,Feb-13,APPROPRIATIONS - Assigned bills,2/4/2013,"Meals, Food, & Beverage","Senate Approps - Dinner at Alexandro's - JC, MO","$1,168.88 ","JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,5607
John E,Bardgett Jr,Mar-13,"CHILDREN, FAMILIES, AND PERSONS WITH DISABILITIES, Standing",3/11/2013,"Meals, Food, & Beverage",Dinner at Grand Cafe,"$1,265.84 ","JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6022
John E,Bardgett Jr,Mar-13,"JUDICIARY, Standing",3/13/2013,"Meals, Food, & Beverage",Lunch Catered to MO State Capitol,$136.47 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6024
John E,Bardgett Jr,Mar-13,ENTIRE MISSOURI HOUSE,3/14/2013,"Meals, Food, & Beverage",Breakfast catered to MO State Capitol,$420.13 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6026
John E,Bardgett Jr,Mar-13,HOUSE MINORITY CAUCUS,3/31/2013,"Meals, Food, & Beverage",Coffee catered to MO State Capitol for month of March,$431.91 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6027
John E,Bardgett Jr,Mar-13,"BUDGET, Standing",3/27/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$402.92 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6029
John E,Bardgett Jr,Mar-13,"APPROPRIATIONS - INFRASTRUCTURE AND JOB CREATION, Standing",3/26/2013,"Meals, Food, & Beverage",Breakfast catered to MO State Capitol,$181.79 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6030
John E,Bardgett Jr,Mar-13,"UTILITIES, Standing",3/4/2013,Travel,Trolley to transport committee from Jeff City to Columbia,$300.00 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6031
John E,Bardgett Jr,Mar-13,"UTILITIES, Standing",3/4/2013,"Meals, Food, & Beverage","Dinner at C. C. Broilers in Columbia, MO","$4,827.11 ","JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6032
John E,Bardgett Jr,Mar-13,"UTILITIES, Standing",3/4/2013,"Meals, Food, & Beverage",Beverages on trolley from JC to Columbia,$48.28 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6033
John E,Bardgett Jr,Mar-13,ENTIRE MISSOURI SENATE,3/5/2013,"Meals, Food, & Beverage",Dinner - Game Fun Nite - Munichburg Tap House,$145.55 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6034
John E,Bardgett Jr,Mar-13,"FISCAL REVIEW, Standing",3/6/2013,"Meals, Food, & Beverage",Breakfast catered to MO State Capitol,$39.32 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6035
John E,Bardgett Jr,Mar-13,"FISCAL REVIEW, Standing",3/7/2013,"Meals, Food, & Beverage",Breakfast catered to MO State Capitol,$39.32 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6037
John E,Bardgett Jr,Mar-13,"WORKFORCE DEVELOPMENT AND WORKPLACE SAFETY, Standing",3/6/2013,"Meals, Food, & Beverage",Breakfast catered to MO State Capitol,$87.53 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6039
John E,Bardgett Jr,Apr-13,"APPROPRIATIONS - PUBLIC SAFETY AND CORRECTIONS, Standing",4/23/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$113.11 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6132
John E,Bardgett Jr,Apr-13,"CHILDREN, FAMILIES, AND PERSONS WITH DISABILITIES, Standing",4/2/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$147.04 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6133
John E,Bardgett Jr,Apr-13,"BUDGET, Standing",4/24/2013,"Meals, Food, & Beverage",Breakfast catered to MO State Capitol,$269.29 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6134
John E,Bardgett Jr,Apr-13,"HEALTH INSURANCE, Standing",4/3/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$181.94 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6135
John E,Bardgett Jr,Apr-13,"ECONOMIC DEVELOPMENT, Standing",4/9/2013,"Meals, Food, & Beverage",Dinner catered to MO State Capitol,$349.80 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6136
John E,Bardgett Jr,Apr-13,ENTIRE MISSOURI SENATE,4/23/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$129.50 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6137
John E,Bardgett Jr,Apr-13,"UTILITIES, Standing",4/10/2013,"Meals, Food, & Beverage",Breakfast catered to MO State Capitol,$253.35 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6138
John E,Bardgett Jr,Apr-13,ENTIRE MISSOURI SENATE,4/8/2013,"Meals, Food, & Beverage",Beverages & snacks catered to MO State Capitol,$221.72 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6139
John E,Bardgett Jr,Apr-13,"PROFESSIONAL REGISTRATION AND LICENSING, Standing",4/17/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$285.79 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6140
John E,Bardgett Jr,Apr-13,"JUDICIARY, Standing",4/15/2013,"Meals, Food, & Beverage","Dinner at Madison's in Jeff City, MO",$148.88 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6141
John E,Bardgett Jr,Apr-13,ENTIRE MISSOURI HOUSE,4/22/2013,"Meals, Food, & Beverage",Dinner catered to MO State Capitol,$300.00 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6241
John E,Bardgett Jr,May-13,ENTIRE MISSOURI SENATE,5/15/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$165.00 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6497
John E,Bardgett Jr,May-13,ENTIRE MISSOURI HOUSE,5/6/2013,"Meals, Food, & Beverage",Dinner catered to MO State Capitol,$250.00 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6499
John E,Bardgett Jr,May-13,"RULES, Standing",5/2/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$199.08 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6500
John E,Bardgett Jr,May-13,ENTIRE MISSOURI SENATE,5/17/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$250.00 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6501
John E,Bardgett Jr,May-13,HOUSE MINORITY CAUCUS,5/16/2013,"Meals, Food, & Beverage",Dinner catered to MO State Capitol,$246.68 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6502
John E,Bardgett Jr,May-13,"GENERAL LAWS, Standing",5/1/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$191.27 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6503
John E,Bardgett Jr,May-13,ENTIRE MISSOURI HOUSE,5/15/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$104.30 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6504
John E,Bardgett Jr,May-13,ENTIRE MISSOURI SENATE,5/17/2013,"Meals, Food, & Beverage",Lunch catered to MO State Capitol,$250.00 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6505
John E,Bardgett Jr,May-13,"JOBS, ECONOMIC DEVELOPMENT AND LOCAL GOVERNMENT - Assigned bills",5/8/2013,"Meals, Food, & Beverage",Beverages delivered to MO State Capitol,$77.53 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6506
John E,Bardgett Jr,Jun-13,ENTIRE GENERAL ASSEMBLY,6/28/2013,Gift,Beach ball with JBA logo ($1.09 each),$214.73 ,"JOHN BARDGETT & ASSOCIATES, INC.",NULL,0,Not Amended,6792
Catherine,Barrie,Jan-13,"JUDICIARY, Standing",1/16/2013,"Meals, Food, & Beverage",Luncheon,$114.46 ,THE MISSOURI BAR,NULL,0,Not Amended,5468
Catherine,Barrie,Jan-13,ENTIRE GENERAL ASSEMBLY,1/23/2013,"Meals, Food, & Beverage",State of Judiciary Luncheon,"$5,495.00 ",THE MISSOURI BAR,NULL,0,Not Amended,5472
Catherine,Barrie,Feb-13,"APPROPRIATIONS - GENERAL ADMINISTRATION, Standing",2/6/2013,"Meals, Food, & Beverage",Luncheon at Capitol  JC MO,$164.85 ,THE MISSOURI BAR,NULL,0,Not Amended,5680
Catherine,Barrie,Mar-13,ENTIRE GENERAL ASSEMBLY,3/25/2013,"Meals, Food, & Beverage",CLE legislators luncheon,$484.44 ,THE MISSOURI BAR,NULL,0,Amended,6062
Catherine,Barrie,Apr-13,"JUDICIARY, Standing",4/22/2013,"Meals, Food, & Beverage","jeff city, mo",$495.14 ,THE MISSOURI BAR,NULL,0,Not Amended,6365
Catherine,Barrie,Mar-13,ENTIRE GENERAL ASSEMBLY,3/25/2013,"Meals, Food, & Beverage",NULL,($484.44),THE MISSOURI BAR,received updated invoice,6062,Amended,6467
Catherine,Barrie,Mar-13,ENTIRE GENERAL ASSEMBLY,3/25/2013,"Meals, Food, & Beverage",CLE for legislators luncheon,$599.60 ,THE MISSOURI BAR,NULL,0,Not Amended,6468
Catherine,Barrie,May-13,"JUDICIARY, Standing",5/7/2013,"Meals, Food, & Beverage",Senate Judiciary Committee Meeting,$347.59 ,THE MISSOURI BAR,NULL,0,Not Amended,6762
