Lob F Name,Lob L Name,Report,Pub Off,Recipient,Date,Type,Description,Cost,Principal,Amend Reason,Amend Indv ID,If Amended,Indv ID
Charles M,Ambrose,Feb-13,Wife of Warrensburg Mayor Don Butterfield - Public Official,Dawna Butterfield - Spouse or Child,2/12/2013,Entertainment,Ticket to attend performance of John Amos,$17.00 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,31094
Charles M,Ambrose,Feb-13,Warrensburg City Manager - Public Official,Paula Hertwig Hopkins - Employee or Staff,2/12/2013,"Meals, Food, & Beverage",Performing Arts Series Reception hosted at President's Home prior to John Amos performance,$9.00 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,31078
Charles M,Ambrose,Feb-13,Warrensburg City Manager - Public Official,Paula Hertwig Hopkins - Employee or Staff,2/12/2013,Entertainment,Concert Ticket to attend John Amos performance,$17.00 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,31081
Charles M,Ambrose,Feb-13,,"BUTTERFIELD, DON - Local Government Official",2/12/2013,"Meals, Food, & Beverage",Performing Arts Series receptions at President's Residence prior to John Amos performance,$9.00 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,31084
Charles M,Ambrose,Mar-13,,"PEARCE, DAVID - Senator",3/8/2013,"Meals, Food, & Beverage",Student Government Association Excellence in Governance Dinner honoring Walt Hicklin hosted on UCM's Campus,$13.50 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,32047
Charles M,Ambrose,Mar-13,,"PEARCE, DAVID - Senator",3/22/2013,"Meals, Food, & Beverage","Luncheon at Heroes in Warrensburg with Charles Ambrose, Deborah Curtis, Mike Wright, Jonathan Freiden to discuss early childhood education ",$15.96 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,32053
Charles M,Ambrose,Mar-13,"PEARCE, DAVID - Senator",Teresa Pearce - Spouse or Child,3/8/2013,"Meals, Food, & Beverage",Student Government Association Excellence in Governance dinner honoring Walt Hicklin hosted on UCM's campus,$13.50 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,32050
Charles M,Ambrose,Jul-13,,"PEARCE, DAVID - Senator",7/24/2013,"Meals, Food, & Beverage",Reception prior to President Obama's speach at UCM,$18.50 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,37336
Charles M,Ambrose,Jul-13,,"HOSKINS, DENNY L - Representative",7/24/2013,"Meals, Food, & Beverage",Reception prior to President Obama's speach at UCM,$18.50 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,37337
Charles M,Ambrose,Jul-13,,"RUTT, CHARLIE - Local Government Official",7/24/2013,"Meals, Food, & Beverage",Reception prior to President Obama's speach at UCM,$18.50 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,37338
Charles M,Ambrose,Jul-13,City Manager - Public Official,Paula Hertwig - Employee or Staff,7/24/2013,"Meals, Food, & Beverage",Reception prior to President Obama's speach at UCM,$18.50 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,37339
Charles M,Ambrose,Jul-13,,"CROSS, GARY  - Representative",7/24/2013,"Meals, Food, & Beverage",Reception prior to President Obama's speach at UCM,$18.50 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,37340
Charles M,Ambrose,Jul-13,"CROSS, GARY  - Representative",Jan Cross - Spouse or Child,7/24/2013,"Meals, Food, & Beverage",Reception prior to President Obama's speach at UCM,$18.50 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,37341
Charles M,Ambrose,Jul-13,,"KRAUS, WILL - Senator",7/24/2013,"Meals, Food, & Beverage",Reception prior to President Obama's speach at UCM,$18.50 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,37342
Charles M,Ambrose,Jul-13,"KRAUS, WILL - Senator",Carmen Kraus - Spouse or Child,7/24/2013,"Meals, Food, & Beverage",Reception prior to President Obama's speach at UCM,$18.50 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,37343
Charles M,Ambrose,Jul-13,"KRAUS, WILL - Senator",Tannor Kraus - Spouse or Child,7/24/2013,"Meals, Food, & Beverage",Reception prior to President Obama's speach at UCM,$18.50 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,37344
Charles M,Ambrose,Jul-13,,"DOHRMAN, DEAN  - Representative",7/24/2013,"Meals, Food, & Beverage",Reception prior to President Obama's speach at UCM,$18.50 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,37345
Charles M,Ambrose,Jul-13,,"BROCK, BAIRD - Local Government Official",7/24/2013,"Meals, Food, & Beverage",Reception prior to President Obama's speach at UCM,$18.50 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,37346
Charles M,Ambrose,Jul-13,,"BUTTERFIELD, DON - Local Government Official",7/24/2013,"Meals, Food, & Beverage",Reception prior to President Obama's speach at UCM,$18.50 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,37347
Charles M,Ambrose,Jul-13,,"DEFRAIN, DONNA - Local Government Official",7/24/2013,"Meals, Food, & Beverage",Reception prior to President Obama's speach at UCM,$18.50 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,37348
Charles M,Ambrose,Aug-13,,"PEARCE, DAVID - Senator",8/22/2013,"Meals, Food, & Beverage",Refreshments served at the memorial service for Dr. Aaron Podolefsky,$4.97 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,37615
"Charles ""Andy""",Arnold,Jan-13,,"ROORDA, JEFF - Representative",1/29/2013,"Meals, Food, & Beverage",,$100.00 ,ARNOLD AND ASSOCIATES,,0,Not Amended,30247
"Charles ""Andy""",Arnold,Mar-13,,"PARSON, MIKE - Senator",3/6/2013,"Meals, Food, & Beverage",Burgers and Fries,$10.00 ,ARNOLD AND ASSOCIATES,,0,Not Amended,32379
"Charles ""Andy""",Arnold,Mar-13,"PARSON, MIKE - Senator",Martin Hohulin - Employee or Staff,3/6/2013,"Meals, Food, & Beverage",Burgers & Fries,$10.00 ,ARNOLD AND ASSOCIATES,,0,Not Amended,32380
"Charles ""Andy""",Arnold,May-13,,"HUBBARD, PENNY V.  - Representative",5/13/2013,"Meals, Food, & Beverage",Dinner,$124.87 ,ARNOLD AND ASSOCIATES,,0,Not Amended,36155
"Charles ""Andy""",Arnold,Jun-13,,"DEMPSEY, TOM - Senator",6/19/2013,Entertainment,John Mayer Tickets,$135.00 ,ARNOLD AND ASSOCIATES,,0,Not Amended,36961
"Charles ""Andy""",Arnold,Jul-13,,"NASHEED, JAMILAH  - Senator",7/24/2013,"Meals, Food, & Beverage",Beverages,$115.52 ,ARNOLD AND ASSOCIATES,,0,Not Amended,37178
"Charles ""Andy""",Arnold,Aug-13,,"HUBBARD, PENNY V.  - Representative",8/4/2013,"Meals, Food, & Beverage",Beverages,$585.00 ,"DC, INC.",,0,Not Amended,37859
"Charles ""Andy""",Arnold,Aug-13,,"GRAY, ROCHELLE WALTON - Representative",8/12/2013,"Meals, Food, & Beverage",Beverages,$68.00 ,"DC, INC.",,0,Not Amended,37860
Richard M,Aubuchon,Feb-13,,"RUPP, SCOTT - Senator",2/5/2013,"Meals, Food, & Beverage",Beverages,$262.69 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,,0,Amended,31560
Richard M,Aubuchon,Feb-13,,"ELMER, KEVIN  - Representative",2/11/2013,"Meals, Food, & Beverage",Beverages,$18.30 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,,0,Not Amended,31561
Richard M,Aubuchon,Feb-13,,"RUPP, SCOTT - Senator",2/25/2013,"Meals, Food, & Beverage",Beverages,$104.41 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,,0,Amended,31562
Richard M,Aubuchon,Feb-13,,"ELMER, KEVIN  - Representative",2/25/2013,"Meals, Food, & Beverage",Beverages,$30.15 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,,0,Not Amended,31563
Richard M,Aubuchon,Feb-13,,"RUPP, SCOTT - Senator",2/6/2013,"Meals, Food, & Beverage",Dinner,$9.74 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,,0,Not Amended,31564
Richard M,Aubuchon,Feb-13,"RUPP, SCOTT - Senator",Beverly Cain - Employee or Staff,2/6/2013,"Meals, Food, & Beverage",Dinner,$9.74 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,,0,Not Amended,31565
Richard M,Aubuchon,Feb-13,"RUPP, SCOTT - Senator",Rachel Hassani - Employee or Staff,2/6/2013,"Meals, Food, & Beverage",Dinner,$9.74 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,,0,Not Amended,31566
Richard M,Aubuchon,Feb-13,,"RUPP, SCOTT - Senator",2/25/2013,"Meals, Food, & Beverage",Snacks for Office,$22.58 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,,0,Amended,31567
Richard M,Aubuchon,Feb-13,,"RUPP, SCOTT - Senator",2/13/2013,"Meals, Food, & Beverage",Beverages,$3.50 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,,0,Not Amended,31568
Richard M,Aubuchon,Feb-13,"RUPP, SCOTT - Senator",Rachel Hassani - Employee or Staff,2/13/2013,"Meals, Food, & Beverage",Beverages,$3.50 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,,0,Not Amended,31569
Richard M,Aubuchon,Feb-13,,"RUPP, SCOTT - Senator",2/5/2013,"Meals, Food, & Beverage",NULL,($262.69),MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,Need to divide amount by two other people,31560,Amended,31690
Richard M,Aubuchon,Feb-13,,"RUPP, SCOTT - Senator",2/25/2013,"Meals, Food, & Beverage",NULL,($104.41),MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,Need to divide amount by two other people,31562,Amended,31691
Richard M,Aubuchon,Feb-13,,"RUPP, SCOTT - Senator",2/25/2013,"Meals, Food, & Beverage",NULL,($22.58),MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,Need to divide amount by two other people,31567,Amended,31692
Richard M,Aubuchon,Feb-13,,"RUPP, SCOTT - Senator",2/5/2013,"Meals, Food, & Beverage",Beverages,$87.56 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,New Entry,0,Not Amended,31693
Richard M,Aubuchon,Feb-13,"RUPP, SCOTT - Senator",Beverly Cain - Employee or Staff,2/5/2013,"Meals, Food, & Beverage",Beverages,$87.56 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,New Entry,0,Not Amended,31694
Richard M,Aubuchon,Feb-13,"RUPP, SCOTT - Senator",Rachel Hassani - Employee or Staff,2/5/2013,"Meals, Food, & Beverage",Beverages,$87.56 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,New Entry,0,Not Amended,31695
Richard M,Aubuchon,Feb-13,,"RUPP, SCOTT - Senator",2/25/2013,"Meals, Food, & Beverage",Beverages,$34.80 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,New Entry,0,Not Amended,31696
Richard M,Aubuchon,Feb-13,"RUPP, SCOTT - Senator",Beveraly Cain - Employee or Staff,2/25/2013,"Meals, Food, & Beverage",Beverages,$34.80 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,New Entry,0,Not Amended,31697
Richard M,Aubuchon,Feb-13,"RUPP, SCOTT - Senator",Rachel Hassani - Employee or Staff,2/25/2013,"Meals, Food, & Beverage",Beverages,$34.80 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,New Entry,0,Not Amended,31698
Richard M,Aubuchon,Feb-13,,"RUPP, SCOTT - Senator",2/25/2013,"Meals, Food, & Beverage",Snacks for office,$7.52 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,New Entry,0,Not Amended,31699
Richard M,Aubuchon,Feb-13,"RUPP, SCOTT - Senator",Beverly Cain - Employee or Staff,2/25/2013,"Meals, Food, & Beverage",Snacks for Office,$7.52 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,New Entry,0,Not Amended,31700
Richard M,Aubuchon,Feb-13,"RUPP, SCOTT - Senator",Rachel Hassani - Employee or Staff,2/25/2013,"Meals, Food, & Beverage",Snacks for Office,$7.52 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,New Entry,0,Not Amended,31701
Richard M,Aubuchon,Mar-13,,"ELMER, KEVIN  - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,TREANOR ARCHITECTS P.A.,,0,Not Amended,32335
Richard M,Aubuchon,Mar-13,,"ELMER, KEVIN  - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,JE DUNN CONSTRUCTION,,0,Not Amended,32335
Richard M,Aubuchon,Mar-13,,"ELMER, KEVIN  - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,LOCKTON INC.,,0,Not Amended,32335
Richard M,Aubuchon,Mar-13,,"ELMER, KEVIN  - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.43 ,TRANSYSTEMS ,,0,Not Amended,32335
Richard M,Aubuchon,Mar-13,,"ELMER, KEVIN  - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,PIPER JAFFRAY,,0,Not Amended,32335
Richard M,Aubuchon,Mar-13,,"HOUGH, LINCOLN  - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.43 ,TRANSYSTEMS ,,0,Not Amended,32331
Richard M,Aubuchon,Mar-13,,"HOUGH, LINCOLN  - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,PIPER JAFFRAY,,0,Not Amended,32331
Richard M,Aubuchon,Mar-13,,"HOUGH, LINCOLN  - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,LOCKTON INC.,,0,Not Amended,32331
Richard M,Aubuchon,Mar-13,,"HOUGH, LINCOLN  - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,JE DUNN CONSTRUCTION,,0,Not Amended,32331
Richard M,Aubuchon,Mar-13,,"HOUGH, LINCOLN  - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,TREANOR ARCHITECTS P.A.,,0,Not Amended,32331
Richard M,Aubuchon,Mar-13,,"TORPEY, NOEL  - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.43 ,TRANSYSTEMS ,,0,Not Amended,32341
Richard M,Aubuchon,Mar-13,,"TORPEY, NOEL  - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,PIPER JAFFRAY,,0,Not Amended,32341
Richard M,Aubuchon,Mar-13,,"TORPEY, NOEL  - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,LOCKTON INC.,,0,Not Amended,32341
Richard M,Aubuchon,Mar-13,,"TORPEY, NOEL  - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,JE DUNN CONSTRUCTION,,0,Not Amended,32341
Richard M,Aubuchon,Mar-13,,"TORPEY, NOEL  - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,TREANOR ARCHITECTS P.A.,,0,Not Amended,32341
Richard M,Aubuchon,Mar-13,,"ELMER, KEVIN  - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,PIPER JAFFRAY,,0,Not Amended,32337
Richard M,Aubuchon,Mar-13,,"ELMER, KEVIN  - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,LOCKTON INC.,,0,Not Amended,32337
Richard M,Aubuchon,Mar-13,,"ELMER, KEVIN  - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,JE DUNN CONSTRUCTION,,0,Not Amended,32337
Richard M,Aubuchon,Mar-13,,"ELMER, KEVIN  - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.43 ,TRANSYSTEMS ,,0,Not Amended,32337
Richard M,Aubuchon,Mar-13,,"ELMER, KEVIN  - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,TREANOR ARCHITECTS P.A.,,0,Not Amended,32337
Richard M,Aubuchon,Mar-13,,"ZERR, ANNE - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.43 ,TRANSYSTEMS ,,0,Not Amended,32338
Richard M,Aubuchon,Mar-13,,"ZERR, ANNE - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,TREANOR ARCHITECTS P.A.,,0,Not Amended,32338
Richard M,Aubuchon,Mar-13,,"ZERR, ANNE - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,JE DUNN CONSTRUCTION,,0,Not Amended,32338
Richard M,Aubuchon,Mar-13,,"ZERR, ANNE - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,LOCKTON INC.,,0,Not Amended,32338
Richard M,Aubuchon,Mar-13,,"ZERR, ANNE - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,PIPER JAFFRAY,,0,Not Amended,32338
Richard M,Aubuchon,Mar-13,,"RUPP, SCOTT - Senator",3/25/2013,"Meals, Food, & Beverage",Beverages,$6.62 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,,0,Not Amended,32372
Richard M,Aubuchon,Mar-13,"RUPP, SCOTT - Senator",Rachel Hassani - Employee or Staff,3/25/2013,"Meals, Food, & Beverage",Beverages,$6.62 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,,0,Not Amended,32373
Richard M,Aubuchon,Mar-13,"RUPP, SCOTT - Senator",Carissa Rupp - Spouse or Child,3/25/2013,"Meals, Food, & Beverage",Beverages,$6.62 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,,0,Not Amended,32374
Richard M,Aubuchon,Mar-13,,"RUPP, SCOTT - Senator",3/25/2013,"Meals, Food, & Beverage",Beverages,$5.63 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,,0,Not Amended,32375
Richard M,Aubuchon,Mar-13,"RUPP, SCOTT - Senator",Carissa Rupp - Spouse or Child,3/25/2013,"Meals, Food, & Beverage",Beverages,$5.63 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,,0,Not Amended,32376
Richard M,Aubuchon,Mar-13,"RUPP, SCOTT - Senator",Rachel Hassani - Employee or Staff,3/25/2013,"Meals, Food, & Beverage",Beverages,$5.63 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,,0,Not Amended,32377
Richard M,Aubuchon,Mar-13,Majority Caucus - Public Official,Ryan Nonnemaker - Employee or Staff,3/25/2013,"Meals, Food, & Beverage",Beverages,$5.63 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY,,0,Not Amended,32378
Richard M,Aubuchon,Mar-13,House Research - Public Official,Melissa Denton - Employee or Staff,3/27/2013,"Meals, Food, & Beverage",Beverages,$2.43 ,TRANSYSTEMS ,,0,Not Amended,32349
Richard M,Aubuchon,Mar-13,House Research - Public Official,Melissa Denton - Employee or Staff,3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,TREANOR ARCHITECTS P.A.,,0,Not Amended,32349
Richard M,Aubuchon,Mar-13,House Research - Public Official,Melissa Denton - Employee or Staff,3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,JE DUNN CONSTRUCTION,,0,Not Amended,32349
Richard M,Aubuchon,Mar-13,House Research - Public Official,Melissa Denton - Employee or Staff,3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,LOCKTON INC.,,0,Not Amended,32349
Richard M,Aubuchon,Mar-13,House Research - Public Official,Melissa Denton - Employee or Staff,3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,PIPER JAFFRAY,,0,Not Amended,32349
Richard M,Aubuchon,Mar-13,,"HOSKINS, DENNY L - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,PIPER JAFFRAY,,0,Not Amended,32346
Richard M,Aubuchon,Mar-13,,"HOSKINS, DENNY L - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,LOCKTON INC.,,0,Not Amended,32346
Richard M,Aubuchon,Mar-13,,"HOSKINS, DENNY L - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,JE DUNN CONSTRUCTION,,0,Not Amended,32346
Richard M,Aubuchon,Mar-13,,"HOSKINS, DENNY L - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.43 ,TRANSYSTEMS ,,0,Not Amended,32346
Richard M,Aubuchon,Mar-13,,"HOSKINS, DENNY L - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,TREANOR ARCHITECTS P.A.,,0,Not Amended,32346
Richard M,Aubuchon,Mar-13,,"HINSON, DAVE - Representative",3/27/2013,"Meals, Food, & Beverage",Beverages,$2.45 ,TREANOR ARCHITECTS P.A.,,0,Not Amended,32344
